dataset,condition,loss_type,lambda,seed,best_epoch,best_val_acc_percent,test_acc_percent,test_ce_loss,test_im_loss,test_output_im_loss,test_firing_rate_output,test_entropy_output,test_no_output_spike_fraction,test_output_spike_count_mean,test_correct_class_output_spike_count_mean,test_max_competing_output_spike_count_mean,test_correct_output_gt_competing_fraction,run_dir,checkpoint
Randman,spiking_count_rate_im,rate,0.0,42,19,87.5,79.296875,0.64847831428051,2.206634235335514e-05,2.206634235335514e-05,0.015332031529396772,0.07876960560679436,0.0,15.33203125,6.140625,3.48046875,0.76953125,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-225206,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-225206/best.pth
Randman,spiking_count_rate_im,rate,0.0,123,20,83.59375,83.984375,0.5772368982434273,3.8870599382789806e-05,3.8870599382789806e-05,0.013781249988824129,0.07236849330365658,0.0,13.78125,5.875,3.08984375,0.7890625,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-225309,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-225309/best.pth
Randman,spiking_count_rate_im,rate,0.0,2020,19,82.8125,81.640625,0.5634781569242477,2.9614557661261642e-05,2.9614557661261642e-05,0.014558593975380063,0.07557346485555172,0.0,14.55859375,6.1640625,3.203125,0.77734375,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-225100,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-225100/best.pth
Randman,spiking_count_rate_im,rate,0.0001,42,19,86.71875,81.25,0.6022049486637115,3.0134942335280357e-05,3.0134942335280357e-05,0.014527344610542059,0.07554757781326771,0.0,14.52734375,6.0234375,3.2265625,0.7734375,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0001/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-225515,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0001/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-225515/best.pth
Randman,spiking_count_rate_im,rate,0.0001,123,20,83.59375,82.421875,0.5708378106355667,4.102648290427169e-05,4.102648290427169e-05,0.013617187505587935,0.07157360017299652,0.0,13.6171875,5.81640625,3.14453125,0.78125,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0001/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-225621,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0001/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-225621/best.pth
Randman,spiking_count_rate_im,rate,0.0001,2020,18,83.984375,83.59375,0.5279517993330956,2.5715751689858735e-05,2.5715751689858735e-05,0.014933594036847353,0.07733009941875935,0.0,14.93359375,6.140625,3.19921875,0.78515625,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0001/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-225412,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0001/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-225412/best.pth
Randman,spiking_count_rate_im,rate,0.0003,42,16,87.5,82.03125,0.6502294093370438,3.971672822444816e-05,3.971672822444816e-05,0.013714844128116965,0.07225174270570278,0.0,13.71484375,5.5546875,3.0625,0.7734375,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0003/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-225831,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0003/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-225831/best.pth
Randman,spiking_count_rate_im,rate,0.0003,123,20,83.984375,83.984375,0.5381901487708092,4.3453364924062043e-05,4.3453364924062043e-05,0.013429687591269612,0.07096376642584801,0.0,13.4296875,5.83203125,3.015625,0.7890625,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0003/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-225934,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0003/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-225934/best.pth
Randman,spiking_count_rate_im,rate,0.0003,2020,20,83.203125,80.859375,0.5444688498973846,2.2905146124685416e-05,2.2905146124685416e-05,0.015218750108033419,0.07851172611117363,0.0,15.21875,6.34765625,3.38671875,0.76171875,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0003/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-225726,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p0003/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-225726/best.pth
Randman,spiking_count_rate_im,rate,0.001,42,20,88.28125,81.640625,0.5922174453735352,2.897826925618574e-05,2.897826925618574e-05,0.014648437267169356,0.0761724915355444,0.0,14.6484375,6.15234375,3.21484375,0.78515625,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p001/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-230142,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p001/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-230142/best.pth
Randman,spiking_count_rate_im,rate,0.001,123,20,83.59375,80.46875,0.5670013353228569,3.0300715025077807e-05,3.0300715025077807e-05,0.014519532211124897,0.07547421753406525,0.0,14.51953125,6.015625,3.24609375,0.76953125,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p001/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-230245,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p001/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-230245/best.pth
Randman,spiking_count_rate_im,rate,0.001,2020,18,83.59375,81.25,0.5679458975791931,1.2314327932472224e-05,1.2314327932472224e-05,0.016492187976837158,0.08369999378919601,0.0,16.4921875,6.421875,3.6484375,0.77734375,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p001/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-230038,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p001/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-230038/best.pth
Randman,spiking_count_rate_im,rate,0.003,42,17,86.328125,79.6875,0.6161584258079529,2.5348075723741204e-05,2.5348075723741204e-05,0.014980468899011612,0.07745200209319592,0.0,14.98046875,5.95703125,3.359375,0.75,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p003/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-230453,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p003/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-230453/best.pth
Randman,spiking_count_rate_im,rate,0.003,123,15,85.15625,82.8125,0.5921400040388107,6.824864522059215e-05,6.824864522059215e-05,0.01175000099465251,0.06363162770867348,0.0,11.75,5.0546875,2.69921875,0.77734375,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p003/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-230556,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p003/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-230556/best.pth
Randman,spiking_count_rate_im,rate,0.003,2020,20,81.640625,84.375,0.49613890796899796,3.800524336838862e-05,3.800524336838862e-05,0.013835937948897481,0.0726358462125063,0.0,13.8359375,6.11328125,3.0546875,0.796875,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p003/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-230348,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p003/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-230348/best.pth
Randman,spiking_count_rate_im,rate,0.01,42,19,87.890625,79.296875,0.7030462622642517,2.047613247668778e-05,2.047613247668778e-05,0.015496094012632966,0.07936931028962135,0.0,15.49609375,6.08984375,3.55859375,0.734375,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p01/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-230805,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p01/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-230805/best.pth
Randman,spiking_count_rate_im,rate,0.01,123,20,85.15625,81.640625,0.5807378068566322,4.75882488899515e-05,4.75882488899515e-05,0.013140626018866897,0.06947170197963715,0.0,13.140625,5.69921875,3.01953125,0.7734375,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p01/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-230909,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/rate/lambda_0p01/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-230909/best.pth
