dataset,condition,loss_type,lambda,seed,best_epoch,best_val_acc_percent,test_acc_percent,test_ce_loss,test_im_loss,test_output_im_loss,test_firing_rate_output,test_entropy_output,test_no_output_spike_fraction,test_output_spike_count_mean,test_correct_class_output_spike_count_mean,test_max_competing_output_spike_count_mean,test_correct_output_gt_competing_fraction,run_dir,checkpoint
Randman,spiking_count_threshold_im,threshold,0.0,42,19,87.5,79.296875,0.64847831428051,10.322988748550415,10.322988748550415,0.015332031529396772,0.07876960560679436,0.0,15.33203125,6.140625,3.48046875,0.76953125,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-222954,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-222954/best.pth
Randman,spiking_count_threshold_im,threshold,0.0,123,20,83.59375,83.984375,0.5772368982434273,11.340387105941772,11.340387105941772,0.013781249988824129,0.07236849330365658,0.0,13.78125,5.875,3.08984375,0.7890625,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-223057,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-223057/best.pth
Randman,spiking_count_threshold_im,threshold,0.0,2020,19,82.8125,81.640625,0.5634781569242477,11.74815058708191,11.74815058708191,0.014558593975380063,0.07557346485555172,0.0,14.55859375,6.1640625,3.203125,0.77734375,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-222848,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-222848/best.pth
Randman,spiking_count_threshold_im,threshold,0.0001,42,19,87.890625,80.46875,0.656284898519516,9.6386137008667,9.6386137008667,0.0164453131146729,0.08350051753222942,0.0,16.4453125,6.36328125,3.63671875,0.75,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0001/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-223304,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0001/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-223304/best.pth
Randman,spiking_count_threshold_im,threshold,0.0001,123,15,81.640625,81.640625,0.6128989011049271,8.71697187423706,8.71697187423706,0.01160546881146729,0.06296471785753965,0.0,11.60546875,4.984375,2.73828125,0.76171875,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0001/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-223406,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0001/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-223406/best.pth
Randman,spiking_count_threshold_im,threshold,0.0001,2020,20,82.421875,82.03125,0.5320956259965897,11.566077709197998,11.566077709197998,0.015585937537252903,0.07976963184773922,0.0,15.5859375,6.4296875,3.4765625,0.7890625,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0001/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-223159,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0001/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-223159/best.pth
Randman,spiking_count_threshold_im,threshold,0.0003,42,15,88.28125,79.296875,0.6803323477506638,8.699984550476074,8.699984550476074,0.012671875534579158,0.06760300695896149,0.0,12.671875,5.16796875,2.921875,0.73046875,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0003/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-223612,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0003/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-223612/best.pth
Randman,spiking_count_threshold_im,threshold,0.0003,123,20,83.984375,83.203125,0.5456366762518883,11.640074491500854,11.640074491500854,0.012554687913507223,0.06711011752486229,0.0,12.5546875,5.62890625,2.890625,0.79296875,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0003/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-223714,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0003/randman_lif_mlp_spkout_im_seed123_dt0.005_20260710-223714/best.pth
Randman,spiking_count_threshold_im,threshold,0.0003,2020,20,81.25,84.375,0.5080635845661163,11.005194425582886,11.005194425582886,0.0159296877682209,0.08144356124103069,0.0,15.9296875,6.4765625,3.37109375,0.80078125,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0003/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-223510,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p0003/randman_lif_mlp_spkout_im_seed2020_dt0.005_20260710-223510/best.pth
Randman,spiking_count_threshold_im,threshold,0.001,42,19,85.9375,78.515625,0.6941157281398773,8.696925163269043,8.696925163269043,0.01749999960884452,0.08756494708359241,0.0,17.5,6.41796875,3.91015625,0.73828125,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p001/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-223922,/content/drive/MyDrive/im_snn_runs/randman/lambda_sweep/threshold/lambda_0p001/randman_lif_mlp_spkout_im_seed42_dt0.005_20260710-223922/best.pth
