dataset,condition,loss_type,lambda,seed,best_epoch,best_val_acc_percent,test_acc_percent,test_ce_loss,test_im_loss,test_output_im_loss,test_firing_rate_output,test_entropy_output,test_no_output_spike_fraction,test_output_spike_count_mean,test_correct_class_output_spike_count_mean,test_max_competing_output_spike_count_mean,test_correct_output_gt_competing_fraction,run_dir,checkpoint
SHD,spiking_count_rate_im,rate,0.0,42,17,73.16176470588235,57.90636044508998,1.804325019934152,0.002646874536862169,0.002646874536862169,0.07144355963481189,0.2566361181938185,0.0,400.0839223693201,31.640901066810418,29.621908140687975,0.5287102473498233,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0/shd_lif_mlp_spkout_im_seed42_dt0.005_20260711-123617,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0/shd_lif_mlp_spkout_im_seed42_dt0.005_20260711-123617/best.pth
SHD,spiking_count_rate_im,rate,0.0,123,18,75.0,61.572438162544174,1.331054280166491,0.0033948169412361226,0.0033948169412361226,0.07826192737573448,0.2737514822095527,0.0,438.2667844522968,35.05256186441482,32.013250896871725,0.5843639580184073,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0/shd_lif_mlp_spkout_im_seed123_dt0.005_20260711-130003,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0/shd_lif_mlp_spkout_im_seed123_dt0.005_20260711-130003/best.pth
SHD,spiking_count_rate_im,rate,0.0,2020,15,74.1421568627451,56.05123675964746,1.623044875822303,0.0007088562840177898,0.0007088562840177898,0.046609824937982186,0.18778033744109393,0.0,261.01501788351646,23.183745596518364,21.73409893992933,0.5123674913766949,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0/shd_lif_mlp_spkout_im_seed2020_dt0.005_20260711-121252,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0/shd_lif_mlp_spkout_im_seed2020_dt0.005_20260711-121252/best.pth
SHD,spiking_count_rate_im,rate,0.0003,42,20,72.42647058823529,56.934628985795875,1.731007483317237,0.002434920762293699,0.002434920762293699,0.0693428995541886,0.2509526096995222,0.0,388.3202296819788,31.578180212014136,29.450088345962364,0.5331272086911825,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p0003/shd_lif_mlp_spkout_im_seed42_dt0.005_20260711-134657,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p0003/shd_lif_mlp_spkout_im_seed42_dt0.005_20260711-134657/best.pth
SHD,spiking_count_rate_im,rate,0.0003,123,17,76.83823529411765,60.20318023307585,1.5912995351076968,0.001552907891930229,0.001552907891930229,0.059392115765978505,0.2245236519895257,0.0,332.5958480565371,29.452738529380557,27.050795053003533,0.564487632719451,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p0003/shd_lif_mlp_spkout_im_seed123_dt0.005_20260711-141026,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p0003/shd_lif_mlp_spkout_im_seed123_dt0.005_20260711-141026/best.pth
SHD,spiking_count_rate_im,rate,0.0003,2020,14,75.49019631217507,62.41166079844687,1.4357074330636554,0.0025873714671289226,0.0025873714671289226,0.07086335912399494,0.2552892792140637,0.0,396.83480565371025,31.36263252231342,28.807420494699645,0.5781802122247514,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p0003/shd_lif_mlp_spkout_im_seed2020_dt0.005_20260711-132338,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p0003/shd_lif_mlp_spkout_im_seed2020_dt0.005_20260711-132338/best.pth
SHD,spiking_count_rate_im,rate,0.001,42,20,70.34313725490196,53.754416961130744,1.9005380064354347,0.004180839584725695,0.004180839584725695,0.08465334859943222,0.2886734326820913,0.0,474.05874569087484,35.49911660777385,33.60335689045937,0.4960247350876407,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p001/shd_lif_mlp_spkout_im_seed42_dt0.005_20260711-145722,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p001/shd_lif_mlp_spkout_im_seed42_dt0.005_20260711-145722/best.pth
SHD,spiking_count_rate_im,rate,0.001,123,20,76.10294129334244,55.65371024734982,1.9938508032067503,0.0024314721883356887,0.0024314721883356887,0.06929778249756607,0.2510988601736803,0.0,388.06757950530033,33.081272084805654,30.34054770991996,0.5247349824374641,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p001/shd_lif_mlp_spkout_im_seed123_dt0.005_20260711-152039,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p001/shd_lif_mlp_spkout_im_seed123_dt0.005_20260711-152039/best.pth
SHD,spiking_count_rate_im,rate,0.001,2020,20,73.77450992079342,58.833922282545814,1.9397703590325668,0.0015403471048756803,0.0015403471048756803,0.05924391092291569,0.22409902997446565,0.0,331.7659010600707,28.814487632508833,27.006183759062534,0.5521201415533733,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p001/shd_lif_mlp_spkout_im_seed2020_dt0.005_20260711-143405,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p001/shd_lif_mlp_spkout_im_seed2020_dt0.005_20260711-143405/best.pth
SHD,spiking_count_rate_im,rate,0.003,42,19,72.426470821979,58.83392230360752,1.781760088125303,0.004295695760672379,0.004295695760672379,0.08553413791391117,0.29116839496912467,0.0,478.99116629341046,36.964222628320485,34.72040636042403,0.5516784454402991,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p003/shd_lif_mlp_spkout_im_seed42_dt0.005_20260711-160747,/content/drive/MyDrive/im_snn_runs/shd/lambda_sweep/rate/lambda_0p003/shd_lif_mlp_spkout_im_seed42_dt0.005_20260711-160747/best.pth
